"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 27 10:23:00 GMT 2024","Tue Feb 27 10:23:00 GMT 2024","17","","Simple testing of bank holidays","","","","Verify the bunting of each event to be boolean",""
"passed","Tue Feb 27 10:23:00 GMT 2024","Tue Feb 27 10:23:00 GMT 2024","7","","Simple testing of bank holidays","","","","Compare received response to json file",""
"passed","Tue Feb 27 10:22:59 GMT 2024","Tue Feb 27 10:23:00 GMT 2024","624","","Simple testing of bank holidays","","","","Verify response status - 404, if the endpoint is incorrect",""
"passed","Tue Feb 27 10:23:00 GMT 2024","Tue Feb 27 10:23:00 GMT 2024","16","","Simple testing of bank holidays","","","","Verify the date of each event",""
"passed","Tue Feb 27 10:23:00 GMT 2024","Tue Feb 27 10:23:00 GMT 2024","58","","Simple testing of bank holidays","","","","Verify the type of holidays in each area",""
"passed","Tue Feb 27 10:23:00 GMT 2024","Tue Feb 27 10:23:00 GMT 2024","15","","Simple testing of bank holidays","","","","Verify the title of each event",""
"passed","Tue Feb 27 10:23:00 GMT 2024","Tue Feb 27 10:23:00 GMT 2024","5","","Simple testing of bank holidays","","","","Verify areas inside JSON",""
"passed","Tue Feb 27 10:23:00 GMT 2024","Tue Feb 27 10:23:00 GMT 2024","4","","Simple testing of bank holidays","","","","Verify the number of holidays in each area",""
"passed","Tue Feb 27 10:22:59 GMT 2024","Tue Feb 27 10:22:59 GMT 2024","186","","Simple testing of bank holidays","","","","Verify response status - 200",""
